id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Angadrême;Blanc;Foulques.Guillaume3@gmail.com;Islands Rubber;2022-01-21T19:32:42;80194;79901
2;Diane;Moulin;Trajan.Bernard15@yahoo.fr;auxiliary circuit Music;2022-01-22T03:43:08;15066;97363
3;Évrard;Michel;Quentine64@gmail.com;PNG;2022-01-21T20:07:04;26966;30883
4;Aimable;Bertrand;Frdric21@hotmail.fr;optimal Concrete c;2022-01-22T03:37:44;19664;16722
5;Anselme;Denis;Pie_Gonzalez35@gmail.com;c;2022-01-21T21:40:26;26355;8457
6;Clara;Barbier;Salomon.Mercier96@yahoo.fr;Buckinghamshire Aquitaine;2022-01-22T03:30:44;82305;25054
7;Aurélienne;Leclerc;Sigebert5@yahoo.fr;users USB e-enable;2022-01-21T22:22:53;55537;49599
8;Pépin;Barre;Cassien.Marty33@yahoo.fr;Bike;2022-01-22T11:19:12;46096;96275
9;Hubert;Renard;Amaliane62@gmail.com;payment;2022-01-22T10:21:13;57259;36909
10;Antigone;Clement;Cyrille.Laine40@gmail.com;b extensible mint;2022-01-22T04:41:22;31560;67662
